"V1","V2","V3"
"","",""
"C1. Have you ever worked for pay/money?","",""
"","",""
"Categories","Female","Male"
"Yes","22.74","52.84"
"No","77.26","47.16"
"","",""
"C2. Have you worked for pay/money at any point in the past 12 months?","",""
"","",""
"Categories","Female","Male"
"Yes","72.7","82"
"No","27.3","18"
"","",""
"C3. Do you currently work for pay/money?","",""
"","",""
"Categories","Female","Male"
"Yes","60.59","70.36"
"No","39.41","29.64"
"","",""
"C4. Is your current work based out of your own home or outside your home?","",""
"","",""
"Categories","Female","Male"
"Own home","57.16","36.4"
"Outside my home","42.84","63.6"
"","",""
"C5. What is your occupation? That is, what kind of work do you mainly do?","",""
"","",""
"Categories","Female","Male"
"Professional/technical/managerial","6.09","3.75"
"Clerical","3.78","7.77"
"Sales","8.55","7.56"
"Agriculture","21.02","18.1"
"Services/household and domestic","15.59","3.82"
"Manual - skilled and unskilled","10.98","22.69"
"Petty trader/shop owner","12.86","8.63"
"Artisan","6.28","11.08"
"Businessman","3.55","4.13"
"Self-employed","10.38","12.21"
"Others (Specify)","0.91","0.24"
"","",""
"C6. In a typical working day, how many hours do you work?","",""
"","",""
"Categories","Female","Male"
"2","0.46","0.24"
"3","6.21","0.82"
"4","5.69","3.28"
"5","9.87","4.88"
"6","8.89","5.72"
"7","2.14","1.25"
"8","56.18","59.09"
"9","0.27","3.12"
"10","4.61","9.33"
"11","0","0.06"
"12","3.26","10.08"
"13","2.16","0.06"
"14","0","0.8"
"15","0","0.35"
"18","0.26","0.93"
"","",""
"C7. On average, how many days do you work per week?","",""
"","",""
"Categories","Female","Male"
"1","0","0"
"2","2.2","0.9"
"3","3.45","3.21"
"4","4.81","9.08"
"5","6.93","7.2"
"6","24.97","33.17"
"7","57.64","46.43"
"","",""
"C8. Do you enjoy your work? Never, some of the time, most of the time, always?","",""
"","",""
"Categories","Female","Male"
"Never","8.11","14.28"
"Some of the time","30.99","42.8"
"Most of the time","29.6","20.95"
"Always","31.31","21.98"
"","",""
"C9. Are you satisfied with the number of hours you spend working each week, on average?","",""
"","",""
"Categories","Female","Male"
"Yes","84.22","80.41"
"No","15.78","19.59"
"","",""
"C10. A flexible work schedule allows you to shift your work hours around to accomplish other tasks such as childcare, household, or other family responsibilities? How flexible is your work schedule: Not flexible at all, somewhat flexible, very flexible?","",""
"","",""
"Categories","Female","Male"
"Not at all flexible","19.1","23.37"
"Somewhat flexible","61.92","66.37"
"Very flexible","18.98","10.26"
"","",""
"C11. Do you wish you could work more hours, or fewer hours, or you prefer to work the same number of hours as you work now.","",""
"","",""
"Categories","Female","Male"
"More hours","20.64","20.05"
"Fewer hours","42.2","34.9"
"The same number of hours","37.17","45.05"
"","",""
"C12. Do you work because you feel like you have to, or because you want to work?","",""
"","",""
"Categories","Female","Male"
"Have to","53.04","55.62"
"Want to","31.19","19.38"
"(volunteered response) - both","15.77","25"
"","",""
"C13. Who in your family usually has the final say on whether or not you should work to earn money?","",""
"","",""
"Categories","Female","Male"
"Respondent","27.99","58.09"
"Spouse/Partner","50.46","29.73"
"Respondent and Spouse/Partner Jointly","11.66","5.24"
"Elderly in the family","2.56","4.3"
"Someone Else","0.22","0.55"
"Other (Please specify____)","0","0"
"Decision Not Made","7.1","2.08"
"","",""
"C13X. Who in your family usually has the final say on whether or not you should work to earn money?","",""
"","",""
"Categories","Female","Male"
"Respondent","34.71","30.78"
"Mother","23.07","25.28"
"Father","19.13","22.29"
"Respondent and parent(s) jointly","12.51","9.7"
"Someone Else","1.11","2.33"
"Other (Please specify____)","0","0"
"Decision Not Made","9.47","9.62"
"","",""
"C14. Do you consider your current occupation to be your desired occupation or just a job for the present?","",""
"","",""
"Categories","Female","Male"
"Desired occupation","72.65","59.14"
"Job for the present","27.31","40.86"
"Other (specify)","0.04","0"
"","",""
"C15. What is your desired occupation? That is, what kind of work you want to do?","",""
"","",""
"Categories","Female","Male"
"Professional/technical/managerial","7.59","5.14"
"Clerical","3.13","2.74"
"Sales","10.63","2.83"
"Agriculture","5.97","5.75"
"Services/household and domestic","32.44","0.25"
"Manual - skilled and unskilled","5.66","9.6"
"Petty trader/shop owner","16.5","34.55"
"Artisan","0.5","7.44"
"Businessman","2.63","9.12"
"Self-employed","14.96","22.58"
"Others (Specify)","0","0"
"","",""
"C16. What barriers do you feel are blocking you from working in your desired profession? (Not enough education)","",""
"","",""
"Categories","Female","Male"
"0","43.15","NaN"
"Not enough education","56.85","NaN"
"","",""
"C16. What barriers do you feel are blocking you from working in your desired profession? (Not easy for me to get jobs in desired profession because of my gender)","",""
"","",""
"Categories","Female","Male"
"0","79.29","NaN"
"Not easy for me to get jobs in desired profession because of my gender","20.71","NaN"
"","",""
"C17. Do you have a leadership position at your current workplace? By leadership, we mean someone who has a supervisory or management role, vision-setting authority, and/or financial decision-making authority.","",""
"","",""
"Categories","Female","Male"
"Yes","65.37","52.95"
"No","34.63","47.05"
"","",""
"C18. Do you feel you could advance your position in your current workplace if you wanted to?","",""
"","",""
