"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"","","","","","","","","","","","","","","","","","","",""
"B1. Are you running, or helping to run, a business?","","","","","B1. Are you running, or helping to run, a business?","","","","","B1. Are you running, or helping to run, a business?","","","","","B1. Are you running, or helping to run, a business?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","109","10.18","178","17.56","Yes","194","15.16","281","21.26","Yes","163","11.51","223","21.41","Yes","466","13.37","682","20.96"
"No","1002","89.82","852","82.44","No","1005","84.84","892","78.74","No","938","88.49","796","78.59","No","2945","86.63","2540","79.04"
"","","","","","","","","","","","","","","","","","","",""
"B3. Are you the sole owner of this business or do you co-own this business with anyone?","","","","","B3. Are you the sole owner of this business or do you co-own this business with anyone?","","","","","B3. Are you the sole owner of this business or do you co-own this business with anyone?","","","","","B3. Are you the sole owner of this business or do you co-own this business with anyone?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes, sole owner","50","53.99","119","75.64","Yes, sole owner","101","65.68","179","82.79","Yes, sole owner","67","66.73","147","84.12","Yes, sole owner","218","65.11","445","82.73"
"Yes, co-own with family","42","46.01","29","17.74","Yes, co-own with family","51","31.76","43","13.73","Yes, co-own with family","57","27.41","32","12.97","Yes, co-own with family","150","31.52","104","13.76"
"Yes, co-own with non-family","0","0","6","5.45","Yes, co-own with non-family","12","2.39","10","2.35","Yes, co-own with non-family","4","5.12","10","1.62","Yes, co-own with non-family","16","3.04","26","2.31"
"No, do not own","0","0","1","1.17","No, do not own","2","0.17","2","0.4","No, do not own","9","0.73","5","1.29","No, do not own","11","0.33","8","0.82"
"Other (Please specify)","0","0","0","0","Other (Please specify)","0","0","1","0.73","Other (Please specify)","0","0","0","0","Other (Please specify)","0","0","1","0.37"
"Don’t know","0","0","0","0","Don’t know","0","0","0","0","Don’t know","0","0","0","0","Don’t know","0","0","0","0"
"","","","","","","","","","","","","","","","","","","",""
"B4. Who has the main financial control of this business, including the ability to sign loans, leases and contracts of this Business?","","","","","B4. Who has the main financial control of this business, including the ability to sign loans, leases and contracts of this Business?","","","","","B4. Who has the main financial control of this business, including the ability to sign loans, leases and contracts of this Business?","","","","","B4. Who has the main financial control of this business, including the ability to sign loans, leases and contracts of this Business?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Me, alone","42","44.41","119","67.56","Me, alone","96","62.44","176","75.12","Me, alone","70","68.58","140","77.92","Me, alone","208","62.94","435","75.62"
"Me, through a hired manager/business owner","1","2.02","4","4.49","Me, through a hired manager/business owner","7","2.76","5","1.86","Me, through a hired manager/business owner","3","2.74","11","7.54","Me, through a hired manager/business owner","11","2.7","20","4.37"
"Me, jointly with spouse","37","40.22","16","16.44","Me, jointly with spouse","38","21.88","12","2.98","Me, jointly with spouse","48","22.62","21","7.64","Me, jointly with spouse","123","23.5","49","5.98"
"Me, jointly with other family member(s)","2","0.75","9","7.15","Me, jointly with other family member(s)","8","6.17","22","11.51","Me, jointly with other family member(s)","6","5.12","13","5.69","Me, jointly with other family member(s)","16","5.44","44","8.8"
"Spouse, alone","4","3.3","1","0.99","Spouse, alone","4","2.23","2","0.94","Spouse, alone","1","0.55","0","0","Spouse, alone","9","1.8","3","0.57"
"Other family member(s)","3","5.16","2","1.17","Other family member(s)","4","3.19","8","3.61","Other family member(s)","0","0","1","0.26","Other family member(s)","7","2.37","11","2.06"
"Non-family members(s)","0","0","3","1.2","Non-family members(s)","8","1.28","7","1.55","Non-family members(s)","1","0","3","0.82","Non-family members(s)","9","0.8","13","1.23"
"Some other Supervisor/Business Owner","0","0","0","0","Some other Supervisor/Business Owner","1","0.04","2","0.86","Some other Supervisor/Business Owner","4","0.17","0","0","Some other Supervisor/Business Owner","5","0.08","2","0.44"
"Don’t know","3","4.13","1","0.99","Don’t know","0","0","1","1.58","Don’t know","4","0.22","5","0.11","Don’t know","7","0.38","7","0.94"
"","","","","","","","","","","","","","","","","","","",""
