"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"","","","","","","","","","","","","","","","","","","",""
"C1. Have you ever worked for pay/money?","","","","","C1. Have you ever worked for pay/money?","","","","","C1. Have you ever worked for pay/money?","","","","","C1. Have you ever worked for pay/money?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","444","42.99","818","79.98","Yes","313","22.74","629","52.84","Yes","542","45.57","808","78.61","Yes","1299","32.87","2255","65.32"
"No","667","57.01","212","20.02","No","886","77.26","544","47.16","No","559","54.43","211","21.39","No","2112","67.13","967","34.68"
"","","","","","","","","","","","","","","","","","","",""
"C2. Have you worked for pay/money at any point in the past 12 months?","","","","","C2. Have you worked for pay/money at any point in the past 12 months?","","","","","C2. Have you worked for pay/money at any point in the past 12 months?","","","","","C2. Have you worked for pay/money at any point in the past 12 months?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","404","93.81","743","92.94","Yes","233","72.7","530","82","Yes","432","77.34","750","90.79","Yes","1069","77.71","2023","87.34"
"No","40","6.19","75","7.06","No","80","27.3","99","18","No","111","22.66","58","9.21","No","231","22.29","232","12.66"
"","","","","","","","","","","","","","","","","","","",""
"C3. Do you currently work for pay/money?","","","","","C3. Do you currently work for pay/money?","","","","","C3. Do you currently work for pay/money?","","","","","C3. Do you currently work for pay/money?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","349","81.56","691","87.82","Yes","200","60.59","462","70.36","Yes","394","66.29","732","86.69","Yes","943","66.11","1885","79.94"
"No","95","18.44","127","12.18","No","113","39.41","167","29.64","No","149","33.71","76","13.31","No","357","33.89","370","20.06"
"","","","","","","","","","","","","","","","","","","",""
"C4. Is your current work based out of your own home or outside your home?","","","","","C4. Is your current work based out of your own home or outside your home?","","","","","C4. Is your current work based out of your own home or outside your home?","","","","","C4. Is your current work based out of your own home or outside your home?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Own home","117","28.66","167","17.99","Own home","121","57.16","174","36.4","Own home","156","48.46","207","34.78","Own home","394","48.34","548","33.21"
"Outside my home","232","71.34","524","82.01","Outside my home","80","42.84","288","63.6","Outside my home","238","51.54","525","65.22","Outside my home","550","51.66","1337","66.79"
"","","","","","","","","","","","","","","","","","","",""
"C5. What is your occupation? That is, what kind of work do you mainly do?","","","","","C5. What is your occupation? That is, what kind of work do you mainly do?","","","","","C5. What is your occupation? That is, what kind of work do you mainly do?","","","","","C5. What is your occupation? That is, what kind of work do you mainly do?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Professional/technical/managerial","27","5.02","23","3.01","Professional/technical/managerial","14","6.09","23","3.75","Professional/technical/managerial","39","14.15","102","20.74","Professional/technical/managerial","80","9.91","148","12.15"
"Clerical","7","2.8","11","1.47","Clerical","8","3.78","32","7.77","Clerical","23","3.88","46","4.89","Clerical","38","3.68","89","5.52"
"Sales","3","0.69","13","1.14","Sales","12","8.55","35","7.56","Sales","9","3.96","41","4.45","Sales","24","5.03","89","5.17"
"Agriculture","88","27.64","140","21.51","Agriculture","48","21.02","90","18.1","Agriculture","137","36.1","164","23.99","Agriculture","273","29.54","394","21.49"
"Services/household and domestic","38","11.63","11","1.58","Services/household and domestic","19","15.59","14","3.82","Services/household and domestic","30","3.72","13","1.4","Services/household and domestic","87","9.08","38","2.32"
