"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"","","","","","","","","","","","","","","","","","","",""
"F1a. Religious based group/organization.","","","","","F1a. Religious based group/organization.","","","","","F1a. Religious based group/organization.","","","","","F1a. Religious based group/organization.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","7","0.46","2","0.07","Leader","3","0.16","6","0.12","Leader","6","0.49","8","0.44","Leader","16","0.31","16","0.24"
"Active member","94","5.89","73","4.8","Active member","167","13.59","160","13.55","Active member","90","6.59","92","9.42","Active member","351","10.33","325","11.13"
"Inactive member","19","1.97","15","2.08","Inactive member","135","8.86","106","7.16","Inactive member","52","8.06","55","7.18","Inactive member","206","7.89","176","6.68"
"Not a member","991","91.68","940","93.05","Not a member","894","77.39","901","79.18","Not a member","953","84.87","864","82.96","Not a member","2838","81.46","2705","81.96"
"","","","","","","","","","","","","","","","","","","",""
"F1b. Social group. This can include sport or recreational club/organization. This can also include art, music or cultural organization.","","","","","F1b. Social group. This can include sport or recreational club/organization. This can also include art, music or cultural organization.","","","","","F1b. Social group. This can include sport or recreational club/organization. This can also include art, music or cultural organization.","","","","","F1b. Social group. This can include sport or recreational club/organization. This can also include art, music or cultural organization.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","4","0.38","3","0.22","Leader","2","0.03","2","0.34","Leader","2","0.27","8","0.37","Leader","8","0.15","13","0.34"
"Active member","88","7.37","68","6.55","Active member","147","9.85","136","8.92","Active member","99","5.72","88","7.29","Active member","334","8.13","292","8.07"
"Inactive member","32","2.64","37","3.25","Inactive member","152","10.22","148","11.18","Inactive member","76","8.03","75","6.35","Inactive member","260","8.69","260","8.57"
"Not a member","987","89.6","922","89.98","Not a member","898","79.89","887","79.56","Not a member","924","85.98","848","85.98","Not a member","2809","83.02","2657","83.02"
"","","","","","","","","","","","","","","","","","","",""
"F1c. Labor Union","","","","","F1c. Labor Union","","","","","F1c. Labor Union","","","","","F1c. Labor Union","","","",""
"","","","","","","","","","","","","","","","","","","",""
