"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"","","","","","","","","","","","","","","","","","","",""
"G1. How often do women in your community not go to a public space when they wanted to (for example to the market or to work or school) because they were worried about being spoken to or being touched/grabbed/pinched in a sexual way you did not want?","","","","","G1. How often do women in your community not go to a public space when they wanted to (for example to the market or to work or school) because they were worried about being spoken to or being touched/grabbed/pinched in a sexual way you did not want?","","","","","G1. How often do women in your community not go to a public space when they wanted to (for example to the market or to work or school) because they were worried about being spoken to or being touched/grabbed/pinched in a sexual way you did not want?","","","","","G1. How often do women in your community not go to a public space when they wanted to (for example to the market or to work or school) because they were worried about being spoken to or being touched/grabbed/pinched in a sexual way you did not want?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Almost never","341","35.11","281","30.42","Almost never","706","59.96","662","59.12","Almost never","666","58.99","597","59.61","Almost never","1713","57.17","1540","56.55"
"Not frequently","154","13.86","144","12.62","Not frequently","195","17.12","204","17.57","Not frequently","92","10.88","115","11.99","Not frequently","441","14.57","463","14.96"
"Somewhat frequently","352","33.93","348","39.56","Somewhat frequently","158","11.79","193","15.57","Somewhat frequently","243","20.77","209","18.67","Somewhat frequently","753","17.17","750","19.06"
"Quite frequently","154","11.3","106","8.05","Quite frequently","112","9.09","97","6.04","Quite frequently","90","8.33","86","8.84","Quite frequently","356","9.04","289","7.3"
"Very frequently","110","5.8","151","9.35","Very frequently","28","2.04","17","1.7","Very frequently","10","1.02","12","0.9","Very frequently","148","2.05","180","2.13"
"","","","","","","","","","","","","","","","","","","",""
"G2. How often in the past year did you not go to public place when you wanted to (for example to the market or to work or school) because you were worried about being spoken to or being touched/grabbed/pinched in a sexual way you did not want?","","","","","G2. How often in the past year did you not go to public place when you wanted to (for example to the market or to work or school) because you were worried about being spoken to or being touched/grabbed/pinched in a sexual way you did not want?","","","","","G2. How often in the past year did you not go to public place when you wanted to (for example to the market or to work or school) because you were worried about being spoken to or being touched/grabbed/pinched in a sexual way you did not want?","","","","","G2. How often in the past year did you not go to public place when you wanted to (for example to the market or to work or school) because you were worried about being spoken to or being touched/grabbed/pinched in a sexual way you did not want?","","","",""
"","","","","","","","","","","","","","","","","","","",""
