"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"","","","","","","","","","","","","","","","","","","",""
"H1. Do you have children under age 5 years?","","","","","H1. Do you have children under age 5 years?","","","","","H1. Do you have children under age 5 years?","","","","","H1. Do you have children under age 5 years?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","346","38.4","261","37.6","Yes","312","36.03","306","39.03","Yes","259","27.88","218","31.06","Yes","917","33.35","785","35.61"
"No","540","61.6","450","62.4","No","556","63.97","445","60.97","No","589","72.12","487","68.94","No","1685","66.65","1382","64.39"
"","","","","","","","","","","","","","","","","","","",""
"H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by a grandparent or other relative in your home or their home)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by a grandparent or other relative in your home or their home)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by a grandparent or other relative in your home or their home)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by a grandparent or other relative in your home or their home)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","68","26.81","51","29.94","0","111","40.55","124","45.61","0","77","42.93","62","34.79","0","256","39.58","237","40.09"
"Care by a grandparent or other relative in your home or their home","278","73.19","210","70.06","Care by a grandparent or other relative in your home or their home","201","59.45","183","54.39","Care by a grandparent or other relative in your home or their home","183","57.07","156","65.21","Care by a grandparent or other relative in your home or their home","662","60.42","549","59.91"
"","","","","","","","","","","","","","","","","","","",""
"H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in your home)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in your home)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in your home)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in your home)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","341","98.64","257","98.97","0","275","88.93","271","90.65","0","249","89.8","211","91.16","0","865","90.38","739","91.72"
"Care by someone you pay to watch them in your home","5","1.36","4","1.03","Care by someone you pay to watch them in your home","37","11.07","36","9.35","Care by someone you pay to watch them in your home","11","10.2","7","8.84","Care by someone you pay to watch them in your home","53","9.62","47","8.28"
"","","","","","","","","","","","","","","","","","","",""
"H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in their home without other children)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in their home without other children)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in their home without other children)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in their home without other children)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","340","98.52","257","98.97","0","287","89.72","288","91.67","0","254","94.62","215","97.72","0","881","92.27","760","94.6"
"Care by someone you pay to watch them in their home without other children","6","1.48","4","1.03","Care by someone you pay to watch them in their home without other children","25","10.28","19","8.33","Care by someone you pay to watch them in their home without other children","6","5.38","3","2.28","Care by someone you pay to watch them in their home without other children","37","7.73","26","5.4"
"","","","","","","","","","","","","","","","","","","",""
"H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in their home in a group with other children)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in their home in a group with other children)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in their home in a group with other children)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in their home in a group with other children)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","343","98.86","258","99.57","0","297","91.87","296","95.38","0","256","95.28","215","93.73","0","896","93.75","769","95.24"
"Care by someone you pay to watch them in their home in a group with other children","3","1.14","3","0.43","Care by someone you pay to watch them in their home in a group with other children","15","8.13","11","4.62","Care by someone you pay to watch them in their home in a group with other children","4","4.72","3","6.27","Care by someone you pay to watch them in their home in a group with other children","22","6.25","17","4.76"
"","","","","","","","","","","","","","","","","","","",""
"H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in a group of children at a nursery or center)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in a group of children at a nursery or center)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in a group of children at a nursery or center)","","","","","H2. Which of the following forms of childcare have you used for these children in the past 6 months?(Select all that apply) (Care by someone you pay to watch them in a group of children at a nursery or center)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
